user_id,AOV,F,Lifespan,CLV,Cluster,CLV标签
4913,3.0,6.0,52260,940680.0,0,低价值用户
6118,3.0,1.0,3276,9828.0,0,低价值用户
7528,3.0,6.0,4922,88596.0,0,低价值用户
7591,2.952380952380953,21.0,24911,1544482.0000000005,0,低价值用户
12645,2.75,8.0,8040,176880.0,0,低价值用户
45368,,,504,2688280.3407607474,0,低价值用户
54056,3.0,2.0,722,4332.0,0,低价值用户
63348,3.0,1.0,5773,17319.0,0,低价值用户
79824,2.923076923076923,13.0,19890,755820.0,0,低价值用户
88930,2.9130434782608696,23.0,48120,3224040.0,0,低价值用户
90472,,,3552,2688280.3407607474,0,低价值用户
100539,3.0,18.0,32460,1752840.0,0,低价值用户
104155,3.0,4.0,11088,133056.0,0,低价值用户
109103,3.0,17.0,7776,396576.0,0,低价值用户
113251,3.0,5.0,7201,108015.0,0,低价值用户
113960,2.6944444444444446,36.0,60270,5846190.0,0,低价值用户
114088,,,475,2688280.3407607474,0,低价值用户
120873,3.0,3.0,46284,416556.0,0,低价值用户
134658,2.5,2.0,7482,37410.0,0,低价值用户
151617,3.0,29.0,59070,5139090.0,0,低价值用户
156608,3.0,9.0,14664,395928.0,0,低价值用户
157097,2.8666666666666667,15.0,43558,1872994.0,0,低价值用户
189833,2.9615384615384617,26.0,111600,8593200.0,0,低价值用户
190327,2.857142857142857,7.0,20880,417600.0,0,低价值用户
191366,2.0,2.0,30940,123760.0,0,低价值用户
213655,2.8666666666666667,15.0,44192,1900256.0,0,低价值用户
217996,3.0,2.0,2160,12960.0,0,低价值用户
227293,3.0,8.0,28830,691920.0,0,低价值用户
230711,2.769230769230769,13.0,9996,359856.0,0,低价值用户
239485,2.75,8.0,6812,149864.0,0,低价值用户
247543,2.782608695652174,23.0,27753,1776192.0,0,低价值用户
250843,2.75,28.0,65970,5079690.0,0,低价值用户
263670,3.0,1.0,18120,54360.0,0,低价值用户
287170,,,1098,2688280.3407607474,0,低价值用户
305685,,,2948,2688280.3407607474,0,低价值用户
337191,3.0,4.0,8154,97848.0,0,低价值用户
355287,3.0,4.0,15792,189504.0,0,低价值用户
365699,2.6666666666666665,3.0,17545,140360.0,0,低价值用户
397142,3.0,4.0,31890,382680.0,0,低价值用户
413178,2.8,5.0,25600,358400.0,0,低价值用户
414388,2.533333333333333,15.0,11752,446576.0,0,低价值用户
418175,2.7058823529411766,17.0,35550,1635300.0,0,低价值用户
429994,2.888888888888889,9.0,19198,499148.0,0,低价值用户
432337,3.0,6.0,26013,468234.0,0,低价值用户
450683,3.0,3.0,6670,60030.0,0,低价值用户
475826,2.918181818181818,110.0,210120,67448520.0,2,高价值用户
483640,2.9285714285714284,14.0,12725,521725.0,0,低价值用户
493013,1.4545454545454546,11.0,6180,98880.0,0,低价值用户
497764,3.0,12.0,120420,4335120.0,0,低价值用户
501286,3.0,15.0,31380,1412100.0,0,低价值用户
511319,2.6666666666666665,6.0,13290,212640.0,0,低价值用户
521437,2.708333333333333,24.0,14476,940940.0,0,低价值用户
565533,2.7333333333333334,15.0,32130,1317330.0,0,低价值用户
567790,2.5,2.0,1479,7395.0,0,低价值用户
568881,3.0,1.0,11704,35112.0,0,低价值用户
595598,,,49648,2688280.3407607474,0,低价值用户
608951,3.0,5.0,57810,867150.0,0,低价值用户
611920,3.0,12.0,49260,1773360.0,0,低价值用户
632347,2.9454545454545453,55.0,74220,12023640.0,0,低价值用户
678552,1.0,1.0,154,154.0,0,低价值用户
704891,2.9615384615384617,26.0,35580,2739660.0,0,低价值用户
722361,,,0,2688280.3407607474,0,低价值用户
742065,2.5,4.0,11020,110200.0,0,低价值用户
754205,2.9473684210526314,38.0,30740,3442880.0,0,低价值用户
764564,,,16762,2688280.3407607474,0,低价值用户
783072,,,752,2688280.3407607474,0,低价值用户
790713,2.727272727272727,11.0,41070,1232099.9999999998,0,低价值用户
801018,2.7,10.0,35580,960660.0,0,低价值用户
807106,2.9649122807017543,57.0,31372,5301868.0,0,低价值用户
814199,2.909090909090909,22.0,78630,5032320.0,0,低价值用户
819192,2.0,1.0,3640,7280.0,0,低价值用户
